"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"239";"239";"29";"5";"BARKA ALIMUDIAN";NULL;NULL
"240";"240";"29";"5";"DEVLA NAGLI";"226";"2"
"241";"241";"29";"5";"MALAB";"255";"2"
"242";"242";"29";"5";"MARORA";NULL;NULL
"243";"243";"29";"5";"MURADBAS";NULL;NULL
"244";"244";"29";"5";"RAHANA";NULL;NULL
"245";"245";"29";"5";"RAI PURI";NULL;NULL
"246";"246";"29";"5";"RANIKA";NULL;NULL
"247";"247";"29";"5";"SADAI";NULL;NULL
"248";"248";"29";"5";"SAHPUR NANGLI";"77";"2"
"249";"249";"29";"5";"SALAMBA";NULL;NULL
"250";"250";"29";"5";"SANGAIL";NULL;NULL
"251";"251";"29";"5";"UJINA";NULL;NULL
"252";"252";"60";"5";"Anchwari";NULL;NULL
"253";"253";"60";"5";"Baded";NULL;NULL
"254";"254";"60";"5";"Bubalheri";NULL;NULL
"255";"255";"60";"5";"Dhadoli Kalan";NULL;NULL
"256";"256";"60";"5";"Dungeja";NULL;NULL
"257";"257";"60";"5";"Falendi";NULL;NULL
"258";"258";"60";"5";"Jharpuri";NULL;NULL
"259";"259";"60";"5";"Manota";NULL;NULL
"260";"260";"60";"5";"Neemkhera";NULL;NULL
"261";"261";"60";"5";"Otha";"463";"3"
"262";"262";"60";"5";"Papra";"113";"3"
"263";"263";"60";"5";"Pingwan";NULL;NULL
"264";"264";"60";"5";"Raniyala Patakpur";NULL;NULL
"265";"265";"60";"5";"Shikrawa";NULL;NULL
"266";"266";"61";"5";"Badli";"204";"3"
"267";"267";"61";"5";"Bichhor";NULL;NULL
"268";"268";"61";"5";"Bisru";NULL;NULL
"269";"269";"61";"5";"Godhola";NULL;NULL
"270";"270";"61";"5";"Jaiwant";NULL;NULL
"271";"271";"61";"5";"Jakhokar";NULL;NULL
"272";"272";"61";"5";"Jharokari";NULL;NULL
"273";"273";"61";"5";"Kherla Punhana";NULL;NULL
"274";"274";"61";"5";"Leharwadi";NULL;NULL
"275";"275";"61";"5";"Luhingakala";NULL;NULL
"276";"276";"61";"5";"Naheda";NULL;NULL
"277";"277";"61";"5";"Nawalgarh";NULL;NULL
"278";"278";"61";"5";"Neemka";NULL;NULL
"279";"279";"61";"5";"Pema Kheda";NULL;NULL
"280";"280";"61";"5";"Sunheda";NULL;NULL
"281";"281";"61";"5";"Tirwada";NULL;NULL
