PropertyAuctionId,BranchId,DistrictId,CityId,SectorId,AssetId,FlatCost,ReceivedAmount,BalanceAmount,PurchaserID,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
366402,3212,298,3276,685,148471,100000,20000,80000,165935,1,0,,1,,,544
368559,3205,291,3252,681,150628,100000,20000,80000,168092,1,0,,1,,,544
365483,3208,294,3264,695,147552,100000,20000,80000,165016,1,0,,1,,,544
370780,3192,278,3193,944,152849,100000,20000,80000,170313,1,0,,1,,,544
376598,3205,291,3252,690,158667,100000,20000,80000,176131,1,0,,1,,,544
377815,3205,291,3252,700,159884,100000,20000,80000,177348,1,0,,1,,,544
373588,3205,291,3252,698,155657,100000,20000,80000,173121,1,0,,1,,,544
376564,3194,280,3200,686,158633,100000,20000,80000,176097,1,0,,1,,,544
372435,3194,280,3200,695,154504,100000,20000,80000,171968,1,0,,1,,,544
378853,3206,292,3257,683,160922,100000,20000,80000,178386,1,0,,1,,,544
366487,3208,294,3264,709,148556,100000,20000,80000,166020,1,0,,1,,,544
367638,3199,285,3221,696,149707,100000,20000,80000,167171,1,0,,1,,,544
369210,3212,298,3276,706,151279,100000,20000,80000,168743,1,0,,1,,,544
371418,3205,291,3252,696,153487,100000,10000,90000,170951,1,0,,1,,,544
376545,3205,291,3252,702,158614,100000,20000,80000,176078,1,0,,1,,,544
368493,3205,291,3252,699,150562,100000,20000,80000,168026,1,0,,1,,,544
371231,3206,292,3257,692,153300,100000,20000,80000,170764,1,0,,1,,,544
372769,3199,285,3221,702,154838,100000,10000,90000,172302,1,0,,1,,,544
367004,3201,287,3233,692,149073,100000,20000,80000,166537,1,0,,1,,,544
367623,3213,299,3279,733,149692,100000,20000,80000,167156,1,0,,1,,,544
372737,3212,298,3276,706,154806,100000,20000,80000,172270,1,0,,1,,,544
375894,3208,294,3264,684,157963,100000,20000,80000,175427,1,0,,1,,,544
366036,3205,291,3252,702,148105,100000,20000,80000,165569,1,0,,1,,,544
368978,3201,287,3233,688,151047,100000,20000,80000,168511,1,0,,1,,,544
368991,3212,298,3276,706,151060,100000,20000,80000,168524,1,0,,1,,,544
366352,3208,294,3264,708,148421,100000,20000,80000,165885,1,0,,1,,,544
373772,3205,291,3252,683,155841,100000,20000,80000,173305,1,0,,1,,,544
374510,3197,283,3215,694,156579,100000,20000,80000,174043,1,0,,1,,,544
374893,3208,294,3264,697,156962,100000,20000,80000,174426,1,0,,1,,,544
379807,3194,280,3200,695,161876,100000,10000,90000,179340,1,0,,1,,,544
376846,3208,294,3264,709,158915,100000,20000,80000,176379,1,0,,1,,,544
378654,3205,291,3252,686,160723,100000,20000,80000,178187,1,0,,1,,,544
367656,3206,292,3257,695,149725,100000,20000,80000,167189,1,0,,1,,,544
368909,3194,280,3200,684,150978,100000,20000,80000,168442,1,0,,1,,,544
366956,3207,293,3259,688,149025,100000,20000,80000,166489,1,0,,1,,,544
376597,3208,294,3264,686,158666,100000,20000,80000,176130,1,0,,1,,,544
367990,3194,280,3200,692,150059,100000,10000,90000,167523,1,0,,1,,,544
373638,3205,291,3252,701,155707,100000,20000,80000,173171,1,0,,1,,,544
368156,3212,298,3276,706,150225,100000,20000,80000,167689,1,0,,1,,,544
372434,3208,294,3264,685,154503,100000,20000,80000,171967,1,0,,1,,,544
