AssociationId,BranchId,CityId,SectorId,Is_Active,Is_Deleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
8692,3194,3200,1047,1,0,9/13/2024,,,,544
8693,3194,3200,1049,1,0,9/13/2024,,,,544
8694,3194,3200,1050,1,0,9/13/2024,,,,544
8695,3194,3200,1051,1,0,9/13/2024,,,,544
8696,3194,3200,1053,1,0,9/13/2024,,,,544
8697,3194,3200,1054,1,0,9/13/2024,,,,544
8698,3194,3200,1055,1,0,9/13/2024,,,,544
8699,3194,3200,1056,1,0,9/13/2024,,,,544
8700,3194,3200,1058,1,0,9/13/2024,,,,544
8701,3194,3200,1059,1,0,9/13/2024,,,,544
8702,3194,3200,1060,1,0,9/13/2024,,,,544
8703,3195,3201,681,1,0,9/13/2024,,,,544
8704,3195,3201,682,1,0,9/13/2024,,,,544
8705,3195,3201,683,1,0,9/13/2024,,,,544
8706,3195,3201,684,1,0,9/13/2024,,,,544
8707,3195,3201,685,1,0,9/13/2024,,,,544
8708,3195,3201,686,1,0,9/13/2024,,,,544
8709,3195,3201,687,1,0,9/13/2024,,,,544
8710,3195,3201,688,1,0,9/13/2024,,,,544
8711,3195,3201,689,1,0,9/13/2024,,,,544
8712,3195,3201,690,1,0,9/13/2024,,,,544
8713,3195,3201,691,1,0,9/13/2024,,,,544
8714,3195,3201,692,1,0,9/13/2024,,,,544
8715,3195,3201,693,1,0,9/13/2024,,,,544
8716,3195,3201,694,1,0,9/13/2024,,,,544
8717,3195,3201,695,1,0,9/13/2024,,,,544
8718,3195,3201,696,1,0,9/13/2024,,,,544
8719,3195,3201,697,1,0,9/13/2024,,,,544
8720,3195,3201,698,1,0,9/13/2024,,,,544
8721,3195,3201,699,1,0,9/13/2024,,,,544
8722,3195,3201,721,1,0,9/13/2024,,,,544
8723,3195,3202,681,1,0,9/13/2024,,,,544
8724,3195,3202,682,1,0,9/13/2024,,,,544
8725,3195,3202,683,1,0,9/13/2024,,,,544
8726,3195,3202,684,1,0,9/13/2024,,,,544
8727,3195,3202,685,1,0,9/13/2024,,,,544
8728,3195,3202,686,1,0,9/13/2024,,,,544
8729,3195,3202,687,1,0,9/13/2024,,,,544
8730,3195,3202,688,1,0,9/13/2024,,,,544
8731,3195,3202,689,1,0,9/13/2024,,,,544
8732,3195,3202,690,1,0,9/13/2024,,,,544
8733,3195,3202,691,1,0,9/13/2024,,,,544
8734,3195,3202,692,1,0,9/13/2024,,,,544
8735,3195,3202,693,1,0,9/13/2024,,,,544
8736,3195,3202,694,1,0,9/13/2024,,,,544
8737,3195,3202,695,1,0,9/13/2024,,,,544
8738,3195,3202,696,1,0,9/13/2024,,,,544
8739,3195,3202,697,1,0,9/13/2024,,,,544
8740,3195,3202,925,1,0,9/13/2024,,,,544
8741,3195,3203,681,1,0,9/13/2024,,,,544
8742,3195,3203,682,1,0,9/13/2024,,,,544
8743,3195,3203,683,1,0,9/13/2024,,,,544
8744,3195,3203,684,1,0,9/13/2024,,,,544
8745,3195,3203,685,1,0,9/13/2024,,,,544
8746,3195,3203,686,1,0,9/13/2024,,,,544
8747,3195,3203,687,1,0,9/13/2024,,,,544
8748,3195,3203,688,1,0,9/13/2024,,,,544
8749,3195,3203,689,1,0,9/13/2024,,,,544
8750,3195,3203,690,1,0,9/13/2024,,,,544
8751,3195,3203,691,1,0,9/13/2024,,,,544
8752,3195,3203,692,1,0,9/13/2024,,,,544
8753,3195,3203,693,1,0,9/13/2024,,,,544
8754,3195,3203,694,1,0,9/13/2024,,,,544
8755,3195,3203,695,1,0,9/13/2024,,,,544
8756,3195,3203,696,1,0,9/13/2024,,,,544
8757,3195,3203,697,1,0,9/13/2024,,,,544
8758,3195,3203,698,1,0,9/13/2024,,,,544
8759,3195,3203,699,1,0,9/13/2024,,,,544
8760,3195,3203,700,1,0,9/13/2024,,,,544
8761,3195,3203,701,1,0,9/13/2024,,,,544
8762,3195,3203,702,1,0,9/13/2024,,,,544
8763,3195,3203,703,1,0,9/13/2024,,,,544
8764,3195,3203,704,1,0,9/13/2024,,,,544
8765,3195,3203,705,1,0,9/13/2024,,,,544
8766,3195,3203,706,1,0,9/13/2024,,,,544
8767,3195,3203,707,1,0,9/13/2024,,,,544
8768,3195,3203,708,1,0,9/13/2024,,,,544
8769,3195,3203,709,1,0,9/13/2024,,,,544
8770,3195,3203,710,1,0,9/13/2024,,,,544
8771,3195,3203,711,1,0,9/13/2024,,,,544
8772,3195,3203,721,1,0,9/13/2024,,,,544
8773,3195,3203,762,1,0,9/13/2024,,,,544
8774,3195,3204,681,1,0,9/13/2024,,,,544
8775,3195,3204,682,1,0,9/13/2024,,,,544
8776,3195,3204,683,1,0,9/13/2024,,,,544
8777,3195,3204,684,1,0,9/13/2024,,,,544
8778,3195,3204,685,1,0,9/13/2024,,,,544
8779,3195,3204,686,1,0,9/13/2024,,,,544
8780,3195,3204,687,1,0,9/13/2024,,,,544
8781,3195,3204,688,1,0,9/13/2024,,,,544
8782,3195,3204,689,1,0,9/13/2024,,,,544
8783,3195,3204,690,1,0,9/13/2024,,,,544
