AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
156882,JG23_512,30,Sq. Yards,3194,280,3200,699,1,0,,1,,,544
157082,JR6_E-444,30,Sq. Yards,3206,292,3257,694,1,0,,1,,,544
157457,RW18.2-3697,30,Sq. Yards,3208,294,3264,684,1,0,,1,,,544
158293,SD8_E-4,30,Sq. Yards,3200,286,3230,684,1,0,,1,,,544
159022,CD9_E-383,30,Sq. Yards,3213,299,3279,694,1,0,,1,,,544
159047,PW21_502,30,Sq. Yards,3212,298,3276,696,1,0,,1,,,544
160158,PWAP_E-475,30,Sq. Yards,3212,298,3276,688,1,0,,1,,,544
160601,JG22.2_E-746,30,Sq. Yards,3194,280,3200,689,1,0,,1,,,544
160851,MG9.10.3_E-203,30,Sq. Yards,3207,293,3259,689,1,0,,1,,,544
161094,RK21.2_E-170,30,Sq. Yards,3205,291,3252,697,1,0,,1,,,544
162516,RW19.1_E-102,30,Sq. Yards,3208,294,3264,683,1,0,,1,,,544
147705,RW18.2-3512,30,Sq. Yards,3208,294,3264,692,1,0,,1,,,544
148684,RW19.1_E-59,30,Sq. Yards,3208,294,3264,700,1,0,,1,,,544
149454,RK21.2_E-119,30,Sq. Yards,3205,291,3252,681,1,0,,1,,,544
149686,RW27.28.26PII_E-249,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
149845,PJ28.1_E-45,30,Sq. Yards,3192,278,3193,1028,1,0,,1,,,544
150254,JAJ_E-29,30,Sq. Yards,3200,286,3229,684,1,0,,1,,,544
151383,JG23_1829,30,Sq. Yards,3194,280,3200,683,1,0,,1,,,544
152196,RW18.1_E-75,30,Sq. Yards,3208,294,3264,682,1,0,,1,,,544
152630,CD9_E-243,30,Sq. Yards,3213,299,3279,694,1,0,,1,,,544
153432,PJ28.1_E-155,30,Sq. Yards,3192,278,3193,683,1,0,,1,,,544
